"","step","Context","Subject","T4_count","T4_percent"
"573",11,"Tone4","X1",0,0
"574",10,"Tone4","X1",0,0
"575",9,"Tone4","X1",1,0.142857142857143
"576",8,"Tone4","X1",1,0.142857142857143
"577",7,"Tone4","X1",7,1
"578",6,"Tone4","X1",7,1
"579",5,"Tone4","X1",7,1
"580",4,"Tone4","X1",7,1
"581",3,"Tone4","X1",6,0.857142857142857
"582",2,"Tone4","X1",7,1
"583",1,"Tone4","X1",7,1
"584",11,"Tone1","X10",0,0
"585",10,"Tone1","X10",0,0
"586",9,"Tone1","X10",4,0.571428571428571
"587",8,"Tone1","X10",3,0.428571428571429
"588",7,"Tone1","X10",4,0.571428571428571
"589",6,"Tone1","X10",6,0.857142857142857
"590",5,"Tone1","X10",7,1
"591",4,"Tone1","X10",7,1
"592",3,"Tone1","X10",7,1
"593",2,"Tone1","X10",7,1
"594",1,"Tone1","X10",7,1
"595",11,"Tone2","X10",0,0
"596",10,"Tone2","X10",0,0
"597",9,"Tone2","X10",0,0
"598",8,"Tone2","X10",1,0.142857142857143
"599",7,"Tone2","X10",7,1
"600",6,"Tone2","X10",7,1
"601",5,"Tone2","X10",7,1
"602",4,"Tone2","X10",7,1
"603",3,"Tone2","X10",7,1
"604",2,"Tone2","X10",7,1
"605",1,"Tone2","X10",7,1
"606",11,"Tone4","X10",0,0
"607",10,"Tone4","X10",2,0.285714285714286
"608",9,"Tone4","X10",4,0.571428571428571
"609",8,"Tone4","X10",6,0.857142857142857
"610",7,"Tone4","X10",7,1
"611",6,"Tone4","X10",7,1
"612",5,"Tone4","X10",7,1
"613",4,"Tone4","X10",7,1
"614",3,"Tone4","X10",7,1
"615",2,"Tone4","X10",7,1
"616",1,"Tone4","X10",7,1
"617",11,"Tone1","X7",0,0
"618",10,"Tone1","X7",0,0
"619",9,"Tone1","X7",0,0
"620",8,"Tone1","X7",0,0
"621",7,"Tone1","X7",0,0
"622",6,"Tone1","X7",1,0.142857142857143
"623",5,"Tone1","X7",2,0.285714285714286
"624",4,"Tone1","X7",3,0.428571428571429
"625",3,"Tone1","X7",4,0.571428571428571
"626",2,"Tone1","X7",5,0.714285714285714
"627",1,"Tone1","X7",7,1
"628",11,"Tone2","X7",0,0
"629",10,"Tone2","X7",0,0
"630",9,"Tone2","X7",0,0
"631",8,"Tone2","X7",0,0
"632",7,"Tone2","X7",0,0
"633",6,"Tone2","X7",0,0
"634",5,"Tone2","X7",0,0
"635",4,"Tone2","X7",0,0
"636",3,"Tone2","X7",0,0
"637",2,"Tone2","X7",3,0.428571428571429
"638",1,"Tone2","X7",3,0.428571428571429
"639",11,"Tone4","X7",0,0
"640",10,"Tone4","X7",1,0.142857142857143
"641",9,"Tone4","X7",4,0.571428571428571
"642",8,"Tone4","X7",5,0.714285714285714
"643",7,"Tone4","X7",7,1
"644",6,"Tone4","X7",7,1
"645",5,"Tone4","X7",7,1
"646",4,"Tone4","X7",7,1
"647",3,"Tone4","X7",7,1
"648",2,"Tone4","X7",7,1
"649",1,"Tone4","X7",7,1
"650",11,"Tone1","X8",0,0
"651",10,"Tone1","X8",0,0
"652",9,"Tone1","X8",0,0
"653",8,"Tone1","X8",1,0.142857142857143
"654",7,"Tone1","X8",2,0.285714285714286
"655",6,"Tone1","X8",5,0.714285714285714
"656",5,"Tone1","X8",7,1
"657",4,"Tone1","X8",7,1
"658",3,"Tone1","X8",7,1
"659",2,"Tone1","X8",6,0.857142857142857
"660",1,"Tone1","X8",7,1
"661",11,"Tone2","X8",1,0.142857142857143
"662",10,"Tone2","X8",1,0.142857142857143
"663",9,"Tone2","X8",0,0
"664",8,"Tone2","X8",0,0
"665",7,"Tone2","X8",0,0
"666",6,"Tone2","X8",1,0.142857142857143
"667",5,"Tone2","X8",2,0.285714285714286
"668",4,"Tone2","X8",1,0.142857142857143
"669",3,"Tone2","X8",4,0.571428571428571
"670",2,"Tone2","X8",5,0.714285714285714
"671",1,"Tone2","X8",7,1
"672",11,"Tone4","X8",0,0
"673",10,"Tone4","X8",1,0.142857142857143
"674",9,"Tone4","X8",2,0.285714285714286
"675",8,"Tone4","X8",7,1
"676",7,"Tone4","X8",7,1
"677",6,"Tone4","X8",7,1
"678",5,"Tone4","X8",7,1
"679",4,"Tone4","X8",7,1
"680",3,"Tone4","X8",7,1
"681",2,"Tone4","X8",7,1
"682",1,"Tone4","X8",7,1
"683",11,"Tone1","X15",0,0
"684",10,"Tone1","X15",1,0.142857142857143
"685",9,"Tone1","X15",2,0.285714285714286
